Opportunity_ID,Last_Modified_Date_opp_days,Quote_Expiry_Date_opp_days,Planned_Delivery_End-Start,Planned_Delivery_Start_Date_acc_days,Planned_Delivery_Start_Date_opp_days
390,393,173.0,4.0,1020,180
391,393,1.0,0.0,479,40
392,393,1.0,0.0,479,40
393,393,8.0,0.0,448,9
394,393,1.0,0.0,479,40
395,393,1.0,0.0,497,58
396,393,15.0,8.0,1332,68
397,393,44.0,29.0,355,294
398,393,408.0,46.0,1535,271
399,393,5.0,6.0,13,13
401,392,44.0,3.0,1332,67
402,392,30.0,11.0,395,8
403,392,78.0,11.0,25,25
404,392,170.0,0.0,824,170
405,392,19.0,5.0,1271,6
406,392,139.0,42.0,214,214
407,392,0.0,0.0,1251,1
408,392,6.0,25.0,1195,109
409,392,99.0,74.0,215,186
411,391,18.0,0.0,607,47
412,391,18.0,0.0,609,49
414,391,41.0,22.0,853,45
415,391,52.0,18.0,1535,269
417,551,52.0,9.0,126,19
418,621,18.0,11.0,75,45
419,391,14.0,86.0,52,52
420,512,52.0,7.0,100,7
421,512,52.0,14.0,107,14
422,388,74.0,0.0,1232,21
423,388,74.0,0.0,1243,32
424,388,74.0,0.0,1227,16
425,598,43.0,30.0,212,74
426,388,43.0,28.0,15,15
427,388,0.0,0.0,1265,11
428,388,0.0,0.0,640,3
429,388,30.0,25.0,185,77
430,388,52.0,18.0,1381,112
431,388,16.0,17.0,1249,56
432,388,16.0,11.0,1305,112
433,388,31.0,0.0,396,77
434,388,39.0,25.0,1218,35
435,388,52.0,117.0,501,350
436,388,52.0,16.0,692,42
437,387,2.0,0.0,638,0
438,387,0.0,0.0,479,34
439,387,0.0,0.0,479,34
440,387,45.0,0.0,479,34
442,617,36.0,27.0,30,15
443,387,73.0,0.0,798,38
444,617,42.0,30.0,58,43
445,617,58.0,90.0,108,74
446,387,52.0,88.0,1113,167
447,387,134.0,30.0,1527,257
448,387,6.0,7.0,9,9
454,386,41.0,3.0,522,163
455,386,72.0,0.0,1222,9
456,386,72.0,0.0,1236,23
457,412,371.0,21.0,1564,488
458,386,37.0,11.0,1360,89
459,386,114.0,2.0,1402,131
460,385,52.0,3.0,1019,67
461,385,12.0,27.0,624,13
462,385,40.0,14.0,13,13
463,385,99.0,2.0,725,151
465,506,43.0,49.0,245,169
466,385,43.0,28.0,487,165
467,385,71.0,0.0,798,36
468,385,0.0,0.0,448,1
469,385,40.0,11.0,854,1
470,385,40.0,6.0,0,0
471,385,40.0,8.0,0,0
472,385,4.0,0.0,422,27
473,385,1.0,0.0,472,25
474,385,1.0,0.0,472,25
475,385,1.0,0.0,472,25
476,385,1.0,0.0,479,32
477,385,1.0,0.0,479,32
478,385,1.0,0.0,479,32
479,385,1.0,0.0,479,32
480,385,1.0,0.0,479,32
481,385,1.0,0.0,479,32
482,385,0.0,0.0,479,32
483,385,48.0,0.0,229,74
484,385,71.0,4.0,237,18
485,385,57.0,25.0,1409,137
486,385,52.0,18.0,1318,46
487,385,15.0,11.0,305,109
488,385,15.0,25.0,74,74
490,384,30.0,0.0,1339,66
491,384,30.0,0.0,1276,3
492,384,33.0,0.0,1297,24
493,384,33.0,0.0,1315,42
494,384,33.0,0.0,1318,45
495,384,30.0,0.0,128,6
496,384,30.0,7.0,80,80
497,384,3.0,90.0,712,71
498,384,52.0,0.0,894,253
499,609,66.0,91.0,895,254
500,384,7.0,4.0,1276,3
501,384,70.0,0.0,810,47
502,384,70.0,0.0,804,41
503,384,70.0,7.0,881,17
505,384,52.0,30.0,1313,40
506,383,32.0,14.0,475,233
508,381,52.0,30.0,266,266
509,381,0.0,0.0,648,4
510,381,28.0,0.0,726,16
511,611,8.0,12.0,116,76
512,381,67.0,0.0,1275,57
513,381,97.0,30.0,1189,98
514,381,67.0,13.0,23,23
515,583,536.0,11.0,761,616
517,380,30.0,4.0,899,20
518,380,30.0,3.0,997,118
521,380,0.0,0.0,655,10
522,380,0.0,0.0,661,16
523,380,9.0,0.0,435,35
524,380,9.0,0.0,435,35
527,380,66.0,9.0,174,22
528,380,30.0,4.0,34,20
529,610,7.0,0.0,8,7
530,380,57.0,4.0,160,146
531,380,52.0,61.0,1587,311
532,380,52.0,91.0,281,281
533,380,66.0,172.0,326,349
534,380,52.0,122.0,250,250
535,380,30.0,33.0,2,2
536,380,35.0,179.0,592,615
537,380,35.0,91.0,260,401
538,380,157.0,55.0,165,188
539,379,34.0,42.0,1212,2
540,379,110.0,120.0,1437,159
541,379,110.0,39.0,1444,166
542,379,110.0,60.0,1451,173
543,379,110.0,32.0,1479,201
544,379,110.0,103.0,1472,194
545,379,0.0,0.0,414,13
546,379,0.0,0.0,420,19
547,379,65.0,92.0,156,156
548,379,56.0,11.0,545,138
549,379,29.0,4.0,482,75
550,379,29.0,2.0,505,98
551,534,80.0,35.0,1411,159
552,379,52.0,61.0,249,249
553,378,52.0,25.0,1015,39
554,378,22.0,22.0,1332,53
555,378,22.0,4.0,1332,53
556,378,22.0,2.0,1395,116
557,378,23.0,3.0,1292,53
558,378,52.0,4.0,983,11
561,378,52.0,374.0,1286,33
564,378,1.0,0.0,655,8
565,378,1.0,0.0,655,8
566,378,1.0,0.0,655,8
567,36,60.0,3.0,1174,60
568,378,31.0,4.0,1304,25
569,378,39.0,0.0,1343,64
570,607,19.0,90.0,362,64
571,377,6.0,0.0,660,12
572,377,59.0,0.0,473,70
573,377,6.0,0.0,410,7
574,377,6.0,0.0,665,17
575,377,32.0,16.0,322,108
576,377,140.0,75.0,230,186
577,377,185.0,60.0,241,155
578,377,247.0,88.0,339,339
579,377,52.0,25.0,1346,66
580,377,30.0,4.0,1099,24
581,377,52.0,35.0,414,84
582,376,41.0,11.0,702,51
583,376,32.0,0.0,135,5
584,374,33.0,11.0,101,49
585,374,3.0,0.0,420,14
586,374,60.0,0.0,1246,21
587,374,60.0,0.0,1250,25
588,374,54.0,0.0,1248,23
589,374,30.0,35.0,403,70
590,374,18.0,5.0,1304,21
591,597,130.0,4.0,182,182
592,374,25.0,3.0,1339,56
593,373,74.0,59.0,236,213
595,373,52.0,91.0,773,151
596,373,59.0,9.0,866,1
597,373,59.0,9.0,866,1
598,373,59.0,9.0,866,1
599,373,59.0,9.0,866,1
600,373,59.0,9.0,866,1
601,373,59.0,8.0,1119,20
602,373,59.0,0.0,1234,8
603,373,15.0,0.0,29,29
604,373,28.0,13.0,15,15
605,373,15.0,46.0,108,104
606,373,30.0,2.0,1285,1
607,373,32.0,11.0,1290,6
608,372,73.0,31.0,139,28
609,372,30.0,0.0,655,5
610,372,7.0,0.0,286,42
612,372,58.0,13.0,303,14
613,372,1.0,0.0,157,103
614,372,49.0,4.0,1446,201
615,372,16.0,4.0,1432,187
616,372,128.0,4.0,1322,131
617,372,36.0,246.0,84,84
618,492,30.0,5.0,232,6
619,371,57.0,0.0,563,320
620,371,57.0,0.0,1255,27
621,371,57.0,0.0,1246,18
622,371,57.0,0.0,1254,26
623,371,52.0,0.0,26,26
624,371,31.0,0.0,26,26
625,371,52.0,18.0,1444,158
626,371,30.0,25.0,1318,32
627,371,13.0,30.0,211,211
628,371,35.0,273.0,59,58
629,371,37.0,23.0,1381,95
630,371,52.0,25.0,832,578
631,370,19.0,0.0,1293,6
632,370,29.0,0.0,1301,14
633,370,29.0,0.0,1301,14
634,370,52.0,46.0,1358,71
635,370,56.0,0.0,1262,33
636,370,18.0,0.0,676,21
639,370,84.0,4.0,439,108
640,370,147.0,30.0,360,87
642,370,25.0,11.0,871,3
643,370,25.0,11.0,871,3
644,370,25.0,3.0,76,52
645,370,25.0,22.0,374,3
646,370,178.0,28.0,659,292
647,370,52.0,32.0,1424,283
649,370,21.0,11.0,1258,57
650,370,33.0,0.0,1297,10
651,369,55.0,7.0,1287,-1
654,367,30.0,32.0,1310,21
655,367,30.0,0.0,368,144
656,367,83.0,0.0,644,60
657,367,83.0,0.0,644,60
658,367,52.0,0.0,1308,197
659,367,18.0,2.0,1273,23
660,367,95.0,0.0,239,60
662,25,22.0,0.0,140,45
663,367,190.0,30.0,176,176
665,366,223.0,0.0,365,281
666,366,52.0,29.0,1471,206
667,366,10.0,0.0,1293,2
668,366,52.0,0.0,1257,24
669,366,52.0,0.0,1274,41
670,366,52.0,0.0,1267,34
671,366,21.0,8.0,252,18
672,366,1.0,0.0,500,34
673,366,21.0,3.0,1339,48
674,366,1.0,0.0,436,22
675,366,30.0,4.0,203,6
676,366,129.0,2.0,1286,141
677,596,8.0,0.0,594,8
678,366,61.0,87.0,636,239
679,595,51.0,29.0,89,52
680,595,76.0,30.0,119,82
681,595,76.0,29.0,150,113
682,365,51.0,20.0,652,21
683,520,149.0,35.0,1464,198
684,520,219.0,63.0,1527,261
685,365,219.0,70.0,1148,163
686,365,212.0,77.0,1232,247
687,365,149.0,70.0,577,163
688,365,219.0,63.0,675,261
689,486,121.0,21.0,517,212
690,486,205.0,70.0,559,254
691,486,114.0,70.0,260,163
692,365,31.0,0.0,559,310
693,486,205.0,77.0,344,247
694,525,205.0,84.0,373,240
695,486,114.0,63.0,266,170
696,486,184.0,70.0,350,254
697,365,149.0,179.0,1466,236
698,486,205.0,84.0,358,240
699,486,52.0,70.0,254,254
700,365,52.0,70.0,156,156
701,486,52.0,28.0,261,261
702,365,52.0,172.0,213,152
703,365,51.0,11.0,878,5
704,365,20.0,4.0,1296,5
705,365,51.0,11.0,878,5
706,365,51.0,11.0,1292,68
707,365,51.0,7.0,1278,54
708,365,51.0,7.0,1285,61
709,365,51.0,7.0,1278,54
710,365,51.0,7.0,1285,61
711,365,51.0,7.0,1299,75
712,365,51.0,7.0,1257,33
713,365,112.0,0.0,801,131
714,365,112.0,3.0,802,132
715,365,82.0,0.0,782,112
716,365,82.0,16.0,787,117
717,365,82.0,3.0,739,69
719,365,16.0,0.0,1313,21
720,365,30.0,11.0,431,12
721,364,50.0,122.0,217,81
722,364,50.0,213.0,248,112
723,364,50.0,22.0,1119,11
725,364,30.0,90.0,1528,235
726,364,30.0,29.0,1497,204
727,364,141.0,4.0,620,207
728,581,19.0,15.0,250,4
729,364,52.0,0.0,1368,75
730,364,52.0,0.0,1381,88
731,364,22.0,29.0,1219,20
732,364,98.0,17.0,357,123
733,364,36.0,25.0,364,130
734,364,251.0,4.0,1459,361
735,364,31.0,14.0,37,36
736,447,442.0,29.0,1624,477
737,364,36.0,4.0,976,11
738,364,21.0,44.0,1284,67
739,364,50.0,14.0,79,66
740,364,52.0,28.0,1497,204
741,364,31.0,24.0,1224,25
742,364,52.0,9.0,1395,102
743,364,36.0,4.0,466,46
744,411,438.0,0.0,1512,417
745,363,19.0,8.0,1304,10
746,363,77.0,29.0,1405,111
747,363,52.0,39.0,1395,101
749,363,26.0,4.0,1294,0
750,363,49.0,11.0,878,3
751,363,49.0,18.0,875,0
754,363,52.0,25.0,1318,24
755,363,21.0,306.0,1106,17
756,363,18.0,2.0,1151,52
757,363,18.0,4.0,1388,94
758,363,18.0,2.0,1395,101
759,363,18.0,8.0,252,15
760,363,49.0,0.0,1264,28
761,363,144.0,39.0,585,185
762,0,14.0,0.0,1139,10
763,363,33.0,0.0,150,7
764,363,24.0,7.0,735,52
765,129,109.0,0.0,1259,129
766,362,48.0,5.0,862,124
767,362,52.0,0.0,525,234
768,362,163.0,0.0,1507,212
769,362,32.0,0.0,1313,18
770,362,28.0,0.0,1298,3
771,360,74.0,35.0,74,63
772,360,126.0,0.0,126,126
773,360,46.0,0.0,1274,35
774,360,46.0,0.0,1279,40
775,360,252.0,28.0,238,238
776,360,46.0,0.0,1246,7
777,360,189.0,0.0,189,189
778,360,1.0,0.0,68,8
779,360,32.0,10.0,191,105
780,360,30.0,30.0,1313,16
781,359,14.0,4.0,1311,13
782,359,52.0,27.0,372,232
784,359,136.0,29.0,46,46
785,359,45.0,30.0,299,15
786,359,289.0,60.0,286,229
787,359,45.0,8.0,303,1
788,359,38.0,4.0,69,69
789,406,384.0,0.0,412,412
790,359,343.0,0.0,349,349
791,480,28.0,0.0,164,62
792,358,13.0,3.0,76,40
793,358,45.0,7.0,800,58
794,358,44.0,0.0,884,142
795,358,0.0,0.0,669,2
796,358,135.0,91.0,421,136
797,358,34.0,0.0,412,33
798,358,135.0,60.0,198,198
799,358,0.0,4.0,74,12
800,358,8.0,4.0,431,26
801,358,51.0,0.0,1507,208
802,358,28.0,31.0,363,28
803,358,30.0,11.0,1311,12
804,358,30.0,18.0,1325,26
805,478,30.0,4.0,160,25
806,357,24.0,0.0,1346,46
807,357,24.0,0.0,1353,53
808,357,24.0,0.0,1346,46
809,357,24.0,0.0,1360,60
810,357,29.0,29.0,941,44
811,357,52.0,88.0,228,228
812,357,134.0,60.0,166,166
813,357,7.0,5.0,969,67
814,357,12.0,29.0,287,44
815,357,52.0,30.0,1374,74
816,357,134.0,15.0,311,207
817,587,27.0,19.0,89,44
818,357,22.0,4.0,108,74
819,56,57.0,0.0,1206,71
820,478,31.0,28.0,331,43
821,356,96.0,24.0,1307,185
822,356,34.0,60.0,401,104
823,521,133.0,91.0,591,591
824,356,52.0,121.0,1497,196
825,356,0.0,0.0,672,3
826,356,0.0,0.0,672,3
827,356,52.0,22.0,406,406
828,356,52.0,22.0,406,406
829,356,164.0,60.0,272,165
830,356,7.0,0.0,1312,11
831,356,11.0,11.0,1271,10
832,356,11.0,3.0,21,18
833,356,33.0,3.0,1339,38
834,356,195.0,88.0,1312,227
835,355,27.0,0.0,1325,23
836,355,29.0,0.0,1311,9
837,355,29.0,0.0,1318,16
838,355,29.0,0.0,1318,16
839,355,111.0,27.0,-17,-17
840,355,224.0,30.0,1619,317
841,355,62.0,167.0,123,57
842,355,6.0,0.0,703,12
843,355,224.0,47.0,304,147
845,417,30.0,0.0,434,403
847,353,130.0,14.0,1220,101
848,353,222.0,30.0,1403,284
849,353,100.0,29.0,260,101
850,353,39.0,30.0,317,9
851,353,39.0,30.0,317,9
852,353,7.0,16.0,1341,37
853,353,39.0,0.0,1269,23
854,353,9.0,4.0,1304,0
855,353,39.0,0.0,1253,7
856,353,130.0,29.0,338,101
857,353,130.0,22.0,70,70
858,353,1.0,0.0,44,4
859,353,30.0,11.0,1325,21
860,353,114.0,4.0,770,77
861,352,129.0,15.0,348,237
862,352,129.0,29.0,150,39
863,423,52.0,18.0,419,475
864,352,52.0,22.0,252,252
865,352,0.0,0.0,679,6
866,352,2.0,0.0,502,22
867,352,52.0,22.0,252,252
868,352,30.0,4.0,602,20
869,562,38.0,30.0,397,8
870,352,10.0,4.0,1318,13
871,352,30.0,0.0,1339,34
872,352,38.0,0.0,83,48
873,352,22.0,30.0,8,8
874,352,120.0,249.0,573,62
875,351,23.0,5.0,1346,40
876,351,37.0,0.0,1261,13
878,351,10.0,52.0,714,37
879,351,23.0,31.0,1112,5
880,350,11.0,10.0,923,25
881,350,152.0,4.0,1131,144
882,350,43.0,0.0,405,97
883,350,52.0,5.0,643,129
884,350,22.0,0.0,1312,5
885,350,36.0,4.0,899,11
886,350,36.0,4.0,899,11
887,350,36.0,4.0,899,11
888,600,52.0,151.0,858,858
889,350,36.0,11.0,892,4
891,350,64.0,0.0,974,29
892,350,64.0,0.0,960,15
893,350,43.0,0.0,784,88
894,350,43.0,0.0,445,88
895,350,43.0,0.0,1395,88
896,350,52.0,30.0,1374,67
897,350,11.0,4.0,438,25
898,350,30.0,11.0,1367,60
899,470,30.0,30.0,387,66
900,349,52.0,89.0,1619,311
901,349,21.0,22.0,1312,4
902,349,52.0,25.0,713,38
903,349,52.0,25.0,713,38
904,349,52.0,30.0,741,66
